train_number,train_name,train_type,zone,origin_code,origin,destination_code,destination,current_station_code,current_station,next_station_code,next_station,scheduled_arrival,actual_arrival,delay_minutes,latitude,longitude,speed_kmph,distance_covered_km,total_distance_km,stops_done,total_stops,timestamp,predicted_arrival,eta_confidence
01101,Mumbai LTT - Gwalior (Weekly) Special,Exp,CR,LTT,LOKMANYA TILAK TERM,GWL,GWALIOR JN,ATG,ATGAON,KE,KHARDI,17:44:00,17:28:00,7,19.55992,73.37629,29,80.4,1173.3,23,152,2026-09-06T17:45:00+05:30,17:49:00,0.91
06501,Yesvantpur - Ahmedabad Garib Rath Special,GR,SWR,YPR,YESVANTPUR JN,ADI,AHMEDABAD JN,SMKT,Somankatti,HLAR,HOLE ALUR,17:48:00,17:42:00,2,15.78654,75.63779,45,548.8,1654.9,71,252,2026-09-06T17:45:00+05:30,17:51:00,0.81
06536,Bijapur-Yesvantpur Special,Exp,SWR,BJP,BIJAPUR,YPR,YESVANTPUR JN,IMR,IBRAHIMPUR,HOH,HONAGANAHALLI,17:56:00,17:45:00,1,16.80293,75.71936,69,3.8,686,2,93,2026-09-06T17:45:00+05:30,17:59:00,0.82
08043,Kolkata Shalimar-Haridwar Puja Special,Exp,SER,SHM,KOLKATA SHALIMAR,HW,HARIDWAR JN,FLR,PHULESWAR,ULB,ULUBARIA,17:45:00,17:44:00,1,22.47515,88.10463,73,27.6,1616.1,11,237,2026-09-06T17:45:00+05:30,17:47:00,0.88
09715,Jaipur Solapur (Weekly) Special,Exp,NWR,JP,JAIPUR,SUR,SOLAPUR JN,DARA,DARA,KIW,KANWALPURA,17:49:00,17:45:00,2,24.83261,76.00578,54,280.9,1680.3,32,197,2026-09-06T17:45:00+05:30,17:50:00,0.93
11017,Chalukya Express,Exp,CR,DR,MUMBAI DADAR CENTRAL,YPR,YESVANTPUR JN,RRB,BIRUR JN,DRU,KADUR,17:06:00,17:40:00,42,13.5718,75.9918,57,931.6,1129.8,144,175,2026-09-06T17:45:00+05:30,17:50:00,0.91
11027,Mumbai CST-Chennai Mail,Mail,CR,CSTM,MUMBAI CST,MAS,CHENNAI CENTRAL,KGL,KUPGAL,ESV,ISIVI,16:31:00,17:20:00,82,15.67547,77.22708,15,744.2,1240.2,124,204,2026-09-06T17:45:00+05:30,17:54:00,0.94
11028,Chennai-Mumbai CST Mail,Mail,CR,MAS,CHENNAI CENTRAL,CSTM,MUMBAI CST,TLT,TILATI,HG,HOTGI,17:41:00,17:36:00,7,17.55014,76.00979,54,790.1,1240.2,114,204,2026-09-06T17:45:00+05:30,17:47:00,0.82
11040-Slip,Gondia-Solapur Maharashtra Express Slip,Exp,CR,G,GONDIA JN,SUR,SOLAPUR JN,VNA,VARANGAON,BSL,BHUSAVAL JN,17:50:00,17:16:00,2,21.03977,75.81107,21,507.5,1081.6,61,129,2026-09-06T17:45:00+05:30,17:57:00,0.92
11065,MUMBAI LTT - DARBHANGA Pawan Exp,Exp,CR,LTT,LOKMANYA TILAK TERM,DBG,DARBHANGA JN,CSN,CHALISGAON JN,VGL,VAGHLI,17:48:00,17:41:00,3,20.47874,75.01787,76,287.6,1822.6,46,247,2026-09-06T17:45:00+05:30,17:49:00,0.8
11123,Barauni-Gwalior Mail,Mail,NCR,BJU,BARAUNI JN,GWL,GWALIOR JN,PIC,PARICHA,GRM,GARHMAU,17:49:00,17:39:00,2,25.51234,78.71284,26,928.3,1040.7,134,146,2026-09-06T17:45:00+05:30,17:55:00,0.94
11124,Gwalior Barauni Mail,Mail,NCR,GWL,GWALIOR JN,BJU,BARAUNI JN,BNAR,BINAUR,BZM,BHIMSEN,17:44:00,17:39:00,6,26.41201,80.20022,24,296.3,1040.7,31,146,2026-09-06T17:45:00+05:30,17:55:00,0.84
11401,Nandigram Express,Exp,CR,CSTM,MUMBAI CST,NGP,NAGPUR,SHAD,SHAHAD,ABY,AMBIVLI,17:42:00,17:43:00,4,19.25996,73.16734,58,55.8,988.8,28,125,2026-09-06T17:45:00+05:30,17:46:00,0.8
12001,Bhopal-New Delhi Shatabdi Express,Shtb,NR,BPL,BHOPAL JN,NDLS,NEW DELHI,BJI,BIJAULI,JHS,JHANSI JN,17:47:00,17:45:00,1,25.37647,78.51775,165,275.9,685.7,35,87,2026-09-06T17:45:00+05:30,17:49:00,0.91
12003,Lucknow-NewDelhi Swarn Shatabdi Express,Shtb,NR,LKO,LUCKNOW,NDLS,NEW DELHI,ULD,ACHALDA,GHSR,GHASARA HALT,17:46:00,17:44:00,1,26.70891,79.38986,98,173,508.7,27,74,2026-09-06T17:45:00+05:30,17:48:00,0.97
