train_no,train_name,type_code
04601,Jammu Tawi Udhampur Special,EXP-TRAINS
04602,UDHAMPUR JAMMUTAWI DMU,EXP-TRAINS
04603,JAT UDAHMPUR DMU,EXP-TRAINS
04604,UDHAMPUR JAMMUTAWI DMU,EXP-TRAINS
04728,Mumbai BandraT-Bikaner SF Special,SF-TRAINS
04741,Sirsa - Hisar Passenger Special,PASS-TRAINS
04742,Hisar - Sirsa Passenger Special,PASS-TRAINS
04853,Rewari Degana Merta Special,EXP-TRAINS
04854,Degana Merta Special,EXP-TRAINS
09022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),SF-TRAINS
11017,Chalukya Express,EXP-TRAINS
11019,Konark Express,EXP-TRAINS
11020,Konark Express,EXP-TRAINS
11023,Sahyadri Express,EXP-TRAINS
11024,Sahyadri Express,EXP-TRAINS
11025,Manmad Pune Express(Via Nasik),EXP-TRAINS
11026,Pune Manmad Express,EXP-TRAINS
11027,Mumbai CST-Chennai Mail,EXP-TRAINS
11029,Koyna Express,EXP-TRAINS
11030,Koyna Express,EXP-TRAINS
11033,PUNE - DARBHANGA Gyan Ganga Exp,EXP-TRAINS
11035,Dadar-Mysore Sharavati Express,EXP-TRAINS
11036,Mysore-Dadar Sharavati Express,EXP-TRAINS
11037,PUNE - GORAKHPUR Exp,EXP-TRAINS
11038,GORAKHPUR - PUNE Exp,EXP-TRAINS
11039,Maharashtra Express,EXP-TRAINS
11039-Slip,Kolhapur-Gorakhpur Express Slip,EXP-TRAINS
11040,Maharashtra Express,EXP-TRAINS
11040-Slip,Gondia-Solapur Maharashtra Express Slip,EXP-TRAINS
11041,Mumbai - Chennai Express,EXP-TRAINS
11043,MUMBAI LTT - MADURAI Exp,EXP-TRAINS
11044,MADURAI - MUMBAI LTT Exp,EXP-TRAINS
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,EXP-TRAINS
11047,Hubli Express,EXP-TRAINS
11048,Hubli Miraj Express,EXP-TRAINS
11049,Ahmedabad-Kolhapur Express,EXP-TRAINS
11050,Kolhapur-Ahmedabad Express,EXP-TRAINS
11051,Solapur-Kolhapur Express,EXP-TRAINS
11052,Kolhapur Solapur Express,EXP-TRAINS
11056,GORAKHPUR - MUMBAI LTT Exp,EXP-TRAINS
11057,Dadar Amritsar Express,EXP-TRAINS
11057-Slip,Dadar Amritsar Express Slip,EXP-TRAINS
11058,Amritsar Dadar Express,EXP-TRAINS
11059,MUMBAI LTT - CHHAPRA Godan Exp,EXP-TRAINS
11060,CHHAPRA - MUMBAI LTT Godan Exp,EXP-TRAINS
11062,DARBHANGA - MUMBAI LTT Pawan Exp,EXP-TRAINS
56305,Kottayam Kollam Passenger,PASS-TRAINS
58651,Ranchi Lohardaga Passenger,PASS-TRAINS
04858,Jodhpur Pipar Road Passenger Special,PASS-TRAINS
05305,Farrukhabad-KanpurAnwarganj Passenger,PASS-TRAINS
05306,KanpurAnwarganj-Farrukhabad Special,EXP-TRAINS
05650,Kamakhya - Mumbai LTT (Weekly) Special,EXP-TRAINS
05697,Hill Queen Express,EXP-TRAINS
05698,Hill Queen Express,EXP-TRAINS
06002,Kollam-Chennai Central SF Special,SF-TRAINS
06003,Chennai Central-Kollam Special,EXP-TRAINS
06004,Kollam-Chennai Central Special,EXP-TRAINS
06005,Chennai Central-Kollam SF Special,SF-TRAINS
06006,Kollam-Chennai Central SF Special,SF-TRAINS
06007,Chennai Central-Kollam SF Special,SF-TRAINS
06008,KollamChennai Central SF Special,SF-TRAINS
06009,Chennai CentralKollam SF Special,SF-TRAINS
06011,Chennai Central Kollam (Weekly) SF Special,SF-TRAINS
06201,Mysore-Sainagar Shirdi Special,EXP-TRAINS
06202,Sainagar Shirdi - Mysore Special,EXP-TRAINS
06215,Mysore Nanjangud Town passenger,PASS-TRAINS
06216,Nanjangud Town Mysore Passenger,PASS-TRAINS
06228,Shimoga Mysore Express,EXP-TRAINS
06301,Nagercoil-Mangalore Special,EXP-TRAINS
06302,Mangalore-Nagercoil Special,EXP-TRAINS
06501,Yesvantpur - Ahmedabad Garib Rath Special,GRB-TRAINS
06502,Ahmedabad -Yesvantpur Garib Rath Special,GRB-TRAINS
06535,Bijapur Express,EXP-TRAINS
06536,Bijapur-Yesvantpur Special,EXP-TRAINS
06591,Yesvantpur-Hosur Passenger Special,PASS-TRAINS
06592,Hosur-Yesvantpur Passenger,PASS-TRAINS
06594,Hosur-Yesvantpur Passenger Special,PASS-TRAINS
06595,Yesvantpur-Devanhalli Special,EXP-TRAINS
06596,Devanahalli-Yesvantpur Special,EXP-TRAINS
06617,Coimbatore-Nagercoil Special,EXP-TRAINS
06618,Nagercoil-Coimbatore Special,EXP-TRAINS
06621,Coimbatore-Yesvantpur SF Special,SF-TRAINS
06622,Yesvantpur-Coimbatore SF Special,SF-TRAINS
06837,Karaikkudi Manamadurai Passenger,PASS-TRAINS
06838,Manamadurai Karaikkudi Passenger,PASS-TRAINS
06839,Tiruchirappalli Karaikkudi Passenger Special,PASS-TRAINS
06840,Karaikkudi-Tiruchirappalli Passenger Special,PASS-TRAINS
06948,Hubli Jn - Vasco Da Gama Link Express,EXP-TRAINS
07003,Hyderabad-Korba Special,EXP-TRAINS
07004,Korba-Hyderabad Special,EXP-TRAINS
07105,Ajmer - Hyderabad Special,EXP-TRAINS
40005,Chennai Beach Tambaram EMU,PASS-TRAINS
55138,Shahganj Ballia Passenger,PASS-TRAINS
56393,Kottayam Kollam Passenger,PASS-TRAINS
24041,DELHI SARAI ROHILLA - KOTDWAR Mussoorie Exp,EXP-TRAINS
07144,Shahu Maharaj T. Kolhapur - Hyderabad Special,EXP-TRAINS
07301,Mysore Shimoga Express,EXP-TRAINS
07403,Adilabad-Nanded Special,EXP-TRAINS
07404,Nanded-Adilabad Special,EXP-TRAINS
07603,Kacheguda Kamareddi Special,EXP-TRAINS
07605,Kamareddi-Nizamabad Passenger Special,PASS-TRAINS
07606,Nizamabad-Kamareddi Special,EXP-TRAINS
07607,Secunderabad - Mancherial Special,EXP-TRAINS
07608,Mancherial - Secunderabad Special,EXP-TRAINS
08001,Kharagpur-Jhargram Express Special,EXP-TRAINS
08002,Jhargram-Kharagpur Special,EXP-TRAINS
08004,Mysore - Howrah Special,EXP-TRAINS
08017,Kharagpur- Jhargram MEMU Special,PASS-TRAINS
08018,Jhargram - Kharagpur MEMU Special,PASS-TRAINS
08043,Kolkata Shalimar-Haridwar Puja Special,EXP-TRAINS
08051,Kharagpur- Jhargram MEMU Special,PASS-TRAINS
08052,Jhargram - Kharagpur MEMU Special,PASS-TRAINS
08055,Shalimar-Tirupati Special,SF-TRAINS
08113,Tatanagar Bilaspur Passenger,PASS-TRAINS
08114,Bilaspur Tatanagar Passenger,PASS-TRAINS
08469,Puri-Bangalore weekly Garib Rath special,GRB-TRAINS
08470,Bangalore-Puri Garib Rath Special,GRB-TRAINS
08471,Bhubaneswar - Tirupati Weekly Special,EXP-TRAINS
08472,Tirupati - Bhubaneswar Weekly Special,EXP-TRAINS
08565,Visakhapatnam-Secunderabad Special,EXP-TRAINS
08566,Secunderabad Vishakaptnam Special,EXP-TRAINS
08567,Visakhapatnam Sainagar Shirdi special,EXP-TRAINS
08568,Shirdi-Visakhapatnam Weekly Special,EXP-TRAINS
08569,Visakhapatnam-Kollam Sabarimalai Special,EXP-TRAINS
08786,Dalli Rajhara Durg Pass,PASS-TRAINS
08787,Raipur-Durg Special,EXP-TRAINS
08788,Durg-Raipur Special,EXP-TRAINS
09002,Ahmedabad Mumbai Central Superfast Special,SF-TRAINS
09021,BANDRA TERMINUS - JAMMU TAWI AC Suvidha Special (Starts 4 April),SF-TRAINS
09051,Valsad-Varanasi Weekly Special,EXP-TRAINS
09221,Porbandar Secunderabad Weekly Special,EXP-TRAINS
09561,Bandra Terminus Okha Weekly Special,EXP-TRAINS
09733,Hanumangarh Kota Special,EXP-TRAINS
09734,Kota Hanumangarh Special,EXP-TRAINS
11015,Kushinagar Express,EXP-TRAINS
12084,Coimbatore-Mayiladuturai Jan Shatabdi,SHT-TRAINS
13401,InterCity Express,EXP-TRAINS
13410,InterCity Express,EXP-TRAINS
40007,Chennai Beach Tambaram EMU(12 Car),PASS-TRAINS
56320,Coimbatore Nagercoil Passenger,PASS-TRAINS
08785,Durg Dalli Rajhara Pass,PASS-TRAINS
01494,Bijapur Hubli Special,EXP-TRAINS
09222,Secunderabad-Porbandar Weekly Special,EXP-TRAINS
09405,Ahmedabad Yesvantpur (Weekly) Special,EXP-TRAINS
09406,Yeshwantpur-Ahmedabad Special,EXP-TRAINS
09562,Okha - Bandra Terminus Weekly Special,EXP-TRAINS
09621,Ajmer Jaipur SF Special,SF-TRAINS
09622,Jaipur Ajmer SF Special,SF-TRAINS
09715,Jaipur Solapur (Weekly) Special,EXP-TRAINS
09716,Solapur - Jaipur Special,EXP-TRAINS
09721,Jaipur Delhi Sarai Rohilla SF Special,SF-TRAINS
09724,Jaipur - Sabarmati SF Holiday Spl,SF-TRAINS
09727,Indore-Jaipur Special,EXP-TRAINS
09728,Jaipur-Indore Special,EXP-TRAINS
09735,Secunderabad-Jaipur Special,EXP-TRAINS
09736,Jaipur - Secunderabad (Weekly) Special,EXP-TRAINS
09741,Rewari - Delhi Sarai Rohilla (Daily) Special,EXP-TRAINS
09742,Delhi Sarai Rohilla - Rewari (Daily) Special,EXP-TRAINS
09761,Surathgarh Anupgarh Passenger,PASS-TRAINS
09762,Suratgarh - Anupgarh Passenger Special,PASS-TRAINS
09763,Surathgarh Anupgarh Passenger,PASS-TRAINS
09764,Suratgarh - Anupgarh Passenger Special,PASS-TRAINS
09765,Phulera Rewari Passenger Special,PASS-TRAINS
09766,Rewari-Phulera Passenger Special,PASS-TRAINS
10001,Satpura Express,EXP-TRAINS
10002,Satpura Express,EXP-TRAINS
10103,MUMBAI CST - MADGAON Mandovi Exp,EXP-TRAINS
10104,MADGAON - MUMBAI CST Mandovi Exp,EXP-TRAINS
10111,MUMBAI CST - MADGAON Konkan Knaya Exp,EXP-TRAINS
10112,MADGAON - MUMBAI CST Konkan Knaya Exp,EXP-TRAINS
10215,Madgaon Ernakulam Weekly Super Fast Express,EXP-TRAINS
10216,Ernakulam Madgaon Weekly SF Express,SF-TRAINS
11003,DADAR - SAWANTWADI RD Rajya Rani Exp,EXP-TRAINS
11004,SAWANTWADI RD - DADAR Rajya Rani Exp,EXP-TRAINS
11007,Deccan Express,EXP-TRAINS
11009,Sinhagad Express,EXP-TRAINS
11010,Sinhagad Express,EXP-TRAINS
11011,Mahalaxmi Express,EXP-TRAINS
11012,Mahalaxmi Express,EXP-TRAINS
11014,Coimbatore Mumbai LTT Express,EXP-TRAINS
11016,Kushinagar Express,EXP-TRAINS
11018,Chalukya Express,EXP-TRAINS
15212,AMRITSAR - DARBHANGA Jan Nayak Exp,EXP-TRAINS
40013,Chennai Beach Tambaram EMU(12 Car),PASS-TRAINS
56304,Nagercoil Kottayam Passenger,PASS-TRAINS
56386,Kottayam Ernakulam Passenger,PASS-TRAINS
56390,Kottayam Ernakulam Passenger,PASS-TRAINS
02082,Loharu - Jaipur Passenger Spl (MG),PASS-TRAINS
02083,Jaipur-Loharu MG Passenger Special,PASS-TRAINS
02084,Loharu - Jaipur Passenger Spl (MG),PASS-TRAINS
02085,Jaipur - Churu Passenger Spl (MG),PASS-TRAINS
02086,Churu - Jaipur Passenger Spl (MG),PASS-TRAINS
02087,Jaipur - Churu Passenger Spl (MG),PASS-TRAINS
02088,Churu - Jaipur Passenger Spl (MG),PASS-TRAINS
02089,Sikar - Churu Passenger Spl (MG),PASS-TRAINS
02090,Sikar - Churu Passenger Spl (MG),PASS-TRAINS
02093,Jaipur Loharu Passenger,PASS-TRAINS
02411,Ratangarh-Sardarshahar Passenger,PASS-TRAINS
02412,Sardarshahr-Ratangarh Passenger Special,PASS-TRAINS
02413,Sadulpur-Shri Ganganagar Passenger Special,PASS-TRAINS
02423,Dibrugarh Guwahati Rajdhani Express,RAJ-TRAINS
02424,Guwahati Dibrugarh Rajdhani Express,RAJ-TRAINS
02435,Dibrugarh Guwahati Rajdhani Express,RAJ-TRAINS
02436,Guwahati Dibrugarh Rajdhani Express,RAJ-TRAINS
02451,Kalka Shimla Holiday Special,EXP-TRAINS
02452,Shimla Kalka Holiday Special,EXP-TRAINS
02453,Kalka Shimla Holiday Special,EXP-TRAINS
02454,Shimla Kalka Holiday Special,EXP-TRAINS
02779,Vasco da Gama Bangalore Link Express,SF-TRAINS
03283,Rajendra Nagar-Tatanagar Special,EXP-TRAINS
03284,Tatanagar-Rajendra Nagar Special,EXP-TRAINS
03686,Delhi Gaya S,SF-TRAINS
04011,Sainagar Shirdi - H. Nizamuddin (Weekly) Special,EXP-TRAINS
04031,Delhi-Panipat Special,EXP-TRAINS
04032,Panipat Delhi Special,EXP-TRAINS
04053,Anand Vihar T.-Jammu Tawi Special,EXP-TRAINS
04054,Jammu Tawi-Anand Vihar Special,EXP-TRAINS
04115,Allahabad - Mumbai LTT (Weekly) Special,EXP-TRAINS
02081,Jaipur Luharu Special,EXP-TRAINS
04116,Mumbai LTT-Allahabad Special,EXP-TRAINS
04201,Lucknow -New Delhi Special,EXP-TRAINS
04202,New Delhi-Lucknow tri-weekly Special,EXP-TRAINS
04203,Varanasi-Old Delhi Special,EXP-TRAINS
11067-Slip,Saket Express Slip,EXP-TRAINS
11108,Varanasi-Gwalior Bundelkhand Express,EXP-TRAINS
11109,Jhansi-Lucknow Intercity Express,EXP-TRAINS
11110,Lucknow-Jhansi InterCity,EXP-TRAINS
11123,Barauni-Gwalior Mail,EXP-TRAINS
11124,Gwalior Barauni Mail,EXP-TRAINS
11125,Indore Gwalior Express,EXP-TRAINS
11126,Gwalior Indore Express,EXP-TRAINS
11454,Prerna Express,EXP-TRAINS
52071,BARI SADRI - MAVLI PASSENGER,PASS-TRAINS
11063-Slip,Chennai Salem Express Slip,EXP-TRAINS
11065,MUMBAI LTT - DARBHANGA Pawan Exp,EXP-TRAINS
11066,DARBHANGA - MUMBAI LTT Pawan Exp,EXP-TRAINS
