train_number,train_name,train_type,zone,origin_code,origin,destination_code,destination,current_station_code,current_station,next_station_code,next_station,scheduled_arrival,actual_arrival,delay_minutes,latitude,longitude,speed_kmph,distance_covered_km,total_distance_km,stops_done,total_stops,timestamp
01101,Mumbai LTT - Gwalior (Weekly) Special,Exp,CR,LTT,LOKMANYA TILAK TERM,GWL,GWALIOR JN,ATG,ATGAON,KE,KHARDI,17:44:00,17:28:00,7,19.55992,73.37629,29,80.4,1173.3,23,152,2026-09-06T17:45:00+05:30
06501,Yesvantpur - Ahmedabad Garib Rath Special,GR,SWR,YPR,YESVANTPUR JN,ADI,AHMEDABAD JN,SMKT,Somankatti,HLAR,HOLE ALUR,17:48:00,17:42:00,2,15.78654,75.63779,45,548.8,1654.9,71,252,2026-09-06T17:45:00+05:30
06536,Bijapur-Yesvantpur Special,Exp,SWR,BJP,BIJAPUR,YPR,YESVANTPUR JN,IMR,IBRAHIMPUR,HOH,HONAGANAHALLI,17:56:00,17:45:00,1,16.80293,75.71936,69,3.8,686,2,93,2026-09-06T17:45:00+05:30
08043,Kolkata Shalimar-Haridwar Puja Special,Exp,SER,SHM,KOLKATA SHALIMAR,HW,HARIDWAR JN,FLR,PHULESWAR,ULB,ULUBARIA,17:45:00,17:44:00,1,22.47515,88.10463,73,27.6,1616.1,11,237,2026-09-06T17:45:00+05:30
09715,Jaipur Solapur (Weekly) Special,Exp,NWR,JP,JAIPUR,SUR,SOLAPUR JN,DARA,DARA,KIW,KANWALPURA,17:49:00,17:45:00,2,24.83261,76.00578,54,280.9,1680.3,32,197,2026-09-06T17:45:00+05:30
11017,Chalukya Express,Exp,CR,DR,MUMBAI DADAR CENTRAL,YPR,YESVANTPUR JN,RRB,BIRUR JN,DRU,KADUR,17:06:00,17:40:00,42,13.5718,75.9918,57,931.6,1129.8,144,175,2026-09-06T17:45:00+05:30
11027,Mumbai CST-Chennai Mail,Mail,CR,CSTM,MUMBAI CST,MAS,CHENNAI CENTRAL,KGL,KUPGAL,ESV,ISIVI,16:31:00,17:20:00,82,15.67547,77.22708,15,744.2,1240.2,124,204,2026-09-06T17:45:00+05:30
11028,Chennai-Mumbai CST Mail,Mail,CR,MAS,CHENNAI CENTRAL,CSTM,MUMBAI CST,TLT,TILATI,HG,HOTGI,17:41:00,17:36:00,7,17.55014,76.00979,54,790.1,1240.2,114,204,2026-09-06T17:45:00+05:30
11040-Slip,Gondia-Solapur Maharashtra Express Slip,Exp,CR,G,GONDIA JN,SUR,SOLAPUR JN,VNA,VARANGAON,BSL,BHUSAVAL JN,17:50:00,17:16:00,2,21.03977,75.81107,21,507.5,1081.6,61,129,2026-09-06T17:45:00+05:30
11065,MUMBAI LTT - DARBHANGA Pawan Exp,Exp,CR,LTT,LOKMANYA TILAK TERM,DBG,DARBHANGA JN,CSN,CHALISGAON JN,VGL,VAGHLI,17:48:00,17:41:00,3,20.47874,75.01787,76,287.6,1822.6,46,247,2026-09-06T17:45:00+05:30
11123,Barauni-Gwalior Mail,Mail,NCR,BJU,BARAUNI JN,GWL,GWALIOR JN,PIC,PARICHA,GRM,GARHMAU,17:49:00,17:39:00,2,25.51234,78.71284,26,928.3,1040.7,134,146,2026-09-06T17:45:00+05:30
11124,Gwalior Barauni Mail,Mail,NCR,GWL,GWALIOR JN,BJU,BARAUNI JN,BNAR,BINAUR,BZM,BHIMSEN,17:44:00,17:39:00,6,26.41201,80.20022,24,296.3,1040.7,31,146,2026-09-06T17:45:00+05:30
11401,Nandigram Express,Exp,CR,CSTM,MUMBAI CST,NGP,NAGPUR,SHAD,SHAHAD,ABY,AMBIVLI,17:42:00,17:43:00,4,19.25996,73.16734,58,55.8,988.8,28,125,2026-09-06T17:45:00+05:30
12001,Bhopal-New Delhi Shatabdi Express,Shtb,NR,BPL,BHOPAL JN,NDLS,NEW DELHI,BJI,BIJAULI,JHS,JHANSI JN,17:47:00,17:45:00,1,25.37647,78.51775,165,275.9,685.7,35,87,2026-09-06T17:45:00+05:30
12003,Lucknow-NewDelhi Swarn Shatabdi Express,Shtb,NR,LKO,LUCKNOW,NDLS,NEW DELHI,ULD,ACHALDA,GHSR,GHASARA HALT,17:46:00,17:44:00,1,26.70891,79.38986,98,173,508.7,27,74,2026-09-06T17:45:00+05:30
12005,New Delhi-Kalka Shatabdi,Shtb,NR,NDLS,NEW DELHI,KLK,Kalka,HNN,HARANA KALAN,SNP,SONIPAT,17:48:00,17:45:00,1,28.94543,77.03914,80,38.8,259.9,12,43,2026-09-06T17:45:00+05:30
12010,Ahmedabad-Mumbai Central Shatabdi,Shtb,WR,ADI,AHMEDABAD JN,BCT,Mumbai Central,KDSD,KUDSAD,SYN,SAYAN,17:44:00,17:42:00,4,21.34701,72.90338,72,211.6,489.8,39,99,2026-09-06T17:45:00+05:30
12012,Kalka-New Delhi Shatabdi,Shtb,NR,KLK,Kalka,NDLS,NEW DELHI,KLK,Kalka,CNDM,Chandi Mandir,17:57:00,17:46:00,1,30.83767,76.93176,65,0,259.9,1,43,2026-09-06T17:45:00+05:30
12013,New Delhi-Amritsar Shatabdi Express,Shtb,NR,NDLS,NEW DELHI,ASR,AMRITSAR JN,BBDE,BABARPUR,KFU,KOHAND,17:48:00,17:45:00,1,29.44965,76.96618,75,95.8,459.3,21,69,2026-09-06T17:45:00+05:30
12016,Ajmer-New Delhi Shatabdi,Shtb,NR,AII,AJMER JN,NDLS,NEW DELHI,KKU,KANAKPURA,JP,JAIPUR,17:45:00,17:39:00,1,26.92144,75.77487,72,130.6,437.4,18,72,2026-09-06T17:45:00+05:30
12018,Dehradun-New Delhi Shatabdi,Shtb,NR,DDN,DEHRADUN,NDLS,NEW DELHI,DWO,DOIWALA,QSR,KANSRAO,17:39:00,17:36:00,10,30.10838,78.13576,50,25.9,306.6,3,49,2026-09-06T17:45:00+05:30
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,RNC,RANCHI,HWH,HOWRAH JN,PKA,PRADHANKHUNTA,CAM,CHHOTA AMBANA,17:49:00,17:45:00,1,23.77259,86.51598,73,162.9,409.5,29,81,2026-09-06T17:45:00+05:30
12022,Barbil Howrah Janshatabdi,JShtb,ER,BBN,Barbil,HWH,HOWRAH JN,GTS,GHATSILA,DVM,DALBHUMGARH,17:47:00,17:39:00,1,22.53292,86.52787,77,183.1,385.5,24,69,2026-09-06T17:45:00+05:30
12057,New Delhi-Una Janshatabdi,JShtb,NR,NDLS,NEW DELHI,UHL,Una Himachal,MOY,MOHRI,UMB,AMBALA CANT JN,17:45:00,17:37:00,2,30.32219,76.83158,57,195.6,369.2,35,55,2026-09-06T17:45:00+05:30
12060,Hazarat Nizamuddin-Kota Jan Shatabdi,JShtb,WCR,NZM,DELHI H NIZAMUDDIN,KOTA,KOTA JN,MLZ,MALARNA,MXL,MOKHOLI,17:50:00,17:45:00,2,26.23108,76.53463,92,315.9,450.8,41,56,2026-09-06T17:45:00+05:30
12063,Haridwar Chandigarh Una Link Jan Shatabdi Express,JShtb,NR,HW,HARIDWAR JN,UHL,Una Himachal,DOKY,DUKHERI,UMB,AMBALA CANT JN,17:35:00,17:30:00,2,30.33892,76.82697,63,159,330.7,26,46,2026-09-06T17:45:00+05:30
12068,Jorhat Guwahati Jan Shatabdi,JShtb,NFR,JTTN,Jorhat Town,GHY,GUWAHATI,BRLF,BAR LANGFER S,LMG,LUMDING JN,17:45:00,17:36:00,1,25.75059,93.18145,29,192.2,364.9,26,51,2026-09-06T17:45:00+05:30
12071,Mumbai Aurangabad Jan Shatabdi,JShtb,SCR,CSTM,MUMBAI CST,AWB,AURANGABAD,KBSN,KASBE-SUKENE,NR,NIPHAD,17:45:00,17:43:00,5,20.07924,74.0421,52,190.7,344.8,45,59,2026-09-06T17:45:00+05:30
12080,Hubli Bangalore Janshatabdi,JShtb,SWR,UBL,HUBLI JN,SBC,BANGALORE CITY JN,RRB,BIRUR JN,DRU,KADUR,17:38:00,17:43:00,13,13.5911,75.97475,57,250.5,456.9,30,63,2026-09-06T17:45:00+05:30
12113,Pune-Nagpur Garib Rath Express,GR,CR,PUNE,PUNE JN,NGP,NAGPUR,PUNE,PUNE JN,HDP,HADAPSAR,17:46:00,17:41:00,1,18.52772,73.90959,58,3.9,854,1,100,2026-09-06T17:45:00+05:30
12139,Sevagram Express,SF,CR,CSTM,MUMBAI CST,NGP,NAGPUR,KSRA,KASARA,IGP,IGATPURI,17:43:00,17:21:00,18,19.67431,73.52433,17,117.1,799.6,36,116,2026-09-06T17:45:00+05:30
12201,MUMBAI LTT - KOCHUVELI Garib Rath Exp,GR,SR,LTT,LOKMANYA TILAK TERM,KCVL,KOCHUVELI,NIIJ,NILAJE,TPND,TALOJA PANCHAND,17:50:00,17:42:00,4,19.13602,73.08176,43,31.2,1409.7,12,201,2026-09-06T17:45:00+05:30
12211,Muzaffarpur-Anand Vihar(T) Garib Rath Exp.,GR,ECR,MFP,MUZAFFARPUR JN,ANVT,ANAND VIHAR TRM,KUMB,KUMARBAGH,CAI,CHANPATIA,17:52:00,17:43:00,2,26.88672,84.51505,42,130.5,1059.5,18,154,2026-09-06T17:45:00+05:30
12213,Yeswantpur-Delhi Sarai Rohilla AC Duronto Express,Drnt,NR,YPR,YESVANTPUR JN,DEE,DELHI SARAI ROHILLA,SNKB,SONKHAMB,MER,METPANJRA,17:50:00,17:43:00,1,21.27299,78.709,52,1273.7,2276.8,152,282,2026-09-06T17:45:00+05:30
12235,DIBRUGARH - NEW DELHI Rajdhani Exp,Raj,NR,DBRG,DIBRUGARH,NDLS,NEW DELHI,IMLI,IMLI,SLNA,SALAUNA,17:46:00,17:40:00,1,25.58981,86.27236,58,1255.6,2451.3,158,338,2026-09-06T17:45:00+05:30
12236,NEW DELHI - DIBRUGARH Rajdhani Exp,Raj,NR,NDLS,NEW DELHI,DBRG,DIBRUGARH,LKO,LUCKNOW,UTR,UTRAHTIA,17:47:00,17:26:00,1,26.77996,80.96185,45,511.7,2442.5,79,337,2026-09-06T17:45:00+05:30
12246,YESVANTPUR - HOWRAH AC Duronto Exp,Drnt,SER,YPR,YESVANTPUR JN,HWH,HOWRAH JN,VDD,VENDODU,KQA,KONDAGUNTA,17:45:00,17:40:00,4,14.05644,79.7648,61,408.7,1898,61,307,2026-09-06T17:45:00+05:30
12263,Pune - Hazrat Nizamuddin AC Duronto Express,Drnt,NR,PUNE,PUNE JN,NZM,DELHI H NIZAMUDDIN,VRE,VAREDIYA,PLJ,PALEJ,17:37:00,17:44:00,13,21.86891,73.05288,74,459.8,1462.8,84,212,2026-09-06T17:45:00+05:30
12269,Chennai-Hazrat Nizamuddin Duronto Express,Drnt,SR,MAS,CHENNAI CENTRAL,NZM,DELHI H NIZAMUDDIN,SRUR,SIRPUR TOWN,MKDI,MAKUDI,17:33:00,17:34:00,15,19.56824,79.47229,74,830.3,2097.8,119,270,2026-09-06T17:45:00+05:30
12279,Jhansi-H.Nizamuddin Taj Express,SF,NR,JHS,JHANSI JN,NZM,DELHI H NIZAMUDDIN,SIKD,SIKRODA KWANRI,HET,HETAMPUR,17:34:00,17:44:00,15,26.57788,77.95888,60,142.1,394.2,18,48,2026-09-06T17:45:00+05:30
12295,BANGALORE - PATLIPUTRA Sanghamitra SF Exp,SF,SWR,SBC,BANGALORE CITY JN,DNR,DANAPUR,DVR,DORAVARI CHATRAM,NYP,NAYADUPETA,17:35:00,17:35:00,16,13.87306,79.9198,44,451,2632.6,92,362,2026-09-06T17:45:00+05:30
12301,Howrah-New Delhi Rajdhani Express,Raj,ER,HWH,HOWRAH JN,NDLS,NEW DELHI,NBAE,NABAGRAM,MSAE,MASAGRAM,17:47:00,17:45:00,2,23.09918,88.06691,70,65.9,1465.7,24,218,2026-09-06T17:45:00+05:30
12302,New Delhi-Howrah Rajdhani Express,Raj,ER,NDLS,NEW DELHI,HWH,HOWRAH JN,WAIR,WAIR,CHL,CHOLA,17:47:00,17:45:00,2,28.34726,77.69927,73,65.7,1465.7,14,218,2026-09-06T17:45:00+05:30
12305,Howrah-New Delhi Rajdhani Express,Raj,ER,HWH,HOWRAH JN,NDLS,NEW DELHI,VDS,VIDYASAGAR,MNC,MADANKATA,17:06:00,17:40:00,40,24.1347,86.70136,41,258.9,1511.1,51,236,2026-09-06T17:45:00+05:30
12306,New Delhi-Howrah Rajdhani Express,Raj,ER,NDLS,NEW DELHI,HWH,HOWRAH JN,WAIR,WAIR,CHL,CHOLA,17:47:00,17:44:00,1,28.33848,77.7068,73,66.9,1511.1,14,236,2026-09-06T17:45:00+05:30
12310,New Delhi Rajendra Nagar Rajdhani Express,Raj,ECR,NDLS,NEW DELHI,RJPB,RAJENDRA NAGAR BIHAR,AJR,AJAIBPUR,DKDE,DANKAUR,17:48:00,17:44:00,2,28.46325,77.60198,80,49.7,994.1,12,142,2026-09-06T17:45:00+05:30
12329,West Bengal Sampark Kranti,SKr,ER,SDAH,KOLKATA SEALDAH,DLI,OLD DELHI,GMO,GOMOH JN,NMG,NIMIAGHAT,17:49:00,17:42:00,2,23.89277,86.12422,66,295.7,1469.9,64,219,2026-09-06T17:45:00+05:30
12368,Vikramshila Express,SF,ER,ANVT,ANAND VIHAR TRM,BGP,BHAGALPUR,DAQ,DAUD KHAN,MXK,MANDRAK,16:52:00,17:45:00,60,27.8305,78.0988,60,125.1,1197.8,21,175,2026-09-06T17:45:00+05:30
12397,Mahabodhi Express,SF,ER,GAYA,GAYA JN,NDLS,NEW DELHI,GAQ,GANJ KHAWAJA,MGS,MUGHAL SARAI JN,17:40:00,17:30:00,5,25.27815,83.11925,26,201.4,982.3,29,139,2026-09-06T17:45:00+05:30
12429,Bangalore - Hazrat Nizamuddin Rajdhani Express,Raj,NR,SBC,BANGALORE CITY JN,NZM,DELHI H NIZAMUDDIN,HTN,HATNA PUR,MTY,MULTAI,17:47:00,17:42:00,1,21.7727,78.29859,78,1376.3,2276.6,169,275,2026-09-06T17:45:00+05:30
